Shape,SYSTEM,DESCRIPTIO,PARENTID,GISPROPNUM,OMPPROPID,NAME,BATHROOM,COMFORTSTA,BUILDINGTY,Shape_Length,Shape_Area
"(40.77822863700004, -73.92272232999994)",Q004-ZN02-BLG0442,Astoria Park-Astoria Park-zone 2-Building,Q004-ZN02,Q004,Q004-ZN02,Astoria Park,Y,FALSE,CONCESSION,2962.739735,47711.99409
"(40.77917736300009, -73.92281960999992)",Q004-ZN02-BLG0443,Astoria Park-Astoria Park-zone 2-Building,Q004-ZN02,Q004,Q004-ZN02,Astoria Park,Y,FALSE,CONCESSION,134.6943524,1129.58528
"(40.77938449700008, -73.92330509099992)",Q004-ZN02-BLG0444,Astoria Park-Astoria Park-zone 2-Building,Q004-ZN02,Q004,Q004-ZN02,Astoria Park,Y,FALSE,CONCESSION,73.26304768,246.604438
"(40.771587466000085, -73.93463151899994)",Q226-01-BLG0445,Astoria Houses Playground-Hallets Cove Playground (area A)-Building,Q226-01,Q226,Q226-01,Astoria Houses Playground,Y,TRUE,BATHROOM,85.23014583,449.9447493
"(40.747171999000045, -73.8178412339999)",Q300-ZN02-BLG0446,Kissena Corridor Park-Kissena Corridor West Zone 2-Building,Q300-ZN02,Q300,Q300-ZN02,Kissena Corridor Park,Y,FALSE,CONCESSION,109.4932998,276.6543994
"(40.74189961500008, -73.74008566799995)",Q001-ZN02-BLG0448,Alley Pond Nature Center,Q001-ZN02,Q001,Q001-ZN02,Alley Pond Nature Center,Y,TRUE,ATHLETIC/RECREATIONAL,192.4966885,1474.11839
"(40.75874390700005, -73.7539989199999)",Q001-ZN08-BLG0449,Alley Pond Park-Alley Pond Park Zone 8-Building,Q001-ZN08,Q001,Q001-ZN08,Alley Pond Park,Y,TRUE,ATHLETIC/RECREATIONAL,81.51957416,415.3362111
"(40.73667510100006, -73.77072069399992)",Q021-ZN03-BLG0450,Cunningham Park-Cunningham Park Zone 3-Building,Q021-ZN03,Q021,Q021-ZN03,Cunningham Park,N,TRUE,ADMINISTRATION,135.2930387,1092.818428
"(40.74467418200004, -73.7875172979999)",Q300A-ZN02-BLG0451,Kissena Corridor Park-Kissena Corridor East Zone 2-Building,Q300A-ZN02,Q300A,Q300A-ZN02,Kissena Corridor Park,Y,TRUE,CONCESSION,99.23472847,600.8978546
"(40.74381457700008, -73.81575155399992)",Q300-ZN03-BLG0452,Kissena Corridor Park-Captain Mario Fajardo Park-Building,Q300-ZN03,Q300,Q300-ZN03,Kissena Corridor Park,Y,FALSE,CONCESSION,213.8023357,1134.114913
"(40.68015844100006, -73.80239833199994)",Q220C-03-BLG0454,Dr Charles R Drew Memorial Park-Dr Charles R Drew Memorial Park-Building,Q220C-03,Q220C,Q220C-03,Dr. Charles R Drew Park,Y,TRUE,BATHROOM,97.99006069,580.6156039
"(40.66478910400008, -73.74027607799991)",Q008-ZN01-BLG0455,Brookville Park-Brookville Park Zone 1-Building,Q008-ZN01,Q008,Q008-ZN01,Brookville Park,Y,FALSE,BATHROOM,542.9859768,5735.383609
"(40.66225016300007, -73.74222085799994)",Q008-ZN01-BLG0456,Brookville Park-Brookville Park Zone 1-Building,Q008-ZN01,Q008,Q008-ZN01,Brookville Park,Y,TRUE,BATHROOM,141.9492913,1223.003609
"(40.70225299800006, -73.86819006699994)",Q015-08-BLG0457,Forest Park-Dry Harbor Playground-Building,Q015-08,Q015,Q015-08,Forest Park,Y,TRUE,BATHROOM,181.6617212,1892.657966
"(40.745869731000084, -73.7957019669999)",Q024-BLG0458,Kissena Park-Building,Q024,Q024,Q024,Kissena Park,Y,FALSE,BATHROOM,81.57512584,415.8942462
"(40.74248460400008, -73.80067276999995)",Q024-BLG0459,Kissena Park-Building,Q024,Q024,Q024,Kissena Park,Y,FALSE,BATHROOM,441.4338995,3814.883776
"(40.74235607700007, -73.80007842999993)",Q024-BLG0460,Kissena Park-Building,Q024,Q024,Q024,Kissena Park,Y,FALSE,BATHROOM,122.7292035,941.3921435
"(40.754940617000045, -73.73355269099994)",Q411-BLG0461,Douglaston Park Golf Course-Building,Q411,Q411,Q411,Douglaston Park Golf Course,Y,FALSE,UTILITY,271.3564306,2257.951567
"(40.75453826000006, -73.7298232949999)",Q411-BLG0462,Douglaston Park Golf Course-Building,Q411,Q411,Q411,Douglaston Park Golf Course,Y,FALSE,UTILITY,880.8737913,20195.68628
"(40.78652569900004, -73.78965096199994)",Q010-BLG0464,Clearview Park & Golf Course-Building,Q010,Q010,Q010,Clearview Park Golf Course,Y,FALSE,BATHROOM,457.4772588,7048.631202
"(40.78745509100008, -73.7902807079999)",Q010-BLG0465,Clearview Park & Golf Course-Building,Q010,Q010,Q010,Clearview Park Golf Course,Y,FALSE,BATHROOM,158.9633589,1484.130281
"(40.77907414800006, -73.79092309999993)",Q010-BLG0466,Clearview Park & Golf Course-Building,Q010,Q010,Q010,Clearview Park Golf Course,Y,FALSE,BATHROOM,92.2810754,530.2157884
"(40.78609764100008, -73.7885321789999)",Q010-BLG0467,Clearview Park & Golf Course-Building,Q010,Q010,Q010,Clearview Park Golf Course,Y,FALSE,BATHROOM,256.0877261,2867.895909
"(40.78646541100005, -73.78887623899993)",Q010-BLG0468,Clearview Park & Golf Course-Building,Q010,Q010,Q010,Clearview Park Golf Course,Y,FALSE,BATHROOM,113.0932223,799.2260814
"(40.74132905700009, -73.77646452099992)",Q300B-BLG0469,Ps 179 Playground (peck)-Holy Cow Playground (ps 179)-Building,Q300B,Q300B,Q300B,Holy Cow Playground,Y,TRUE,BATHROOM,80.81474734,407.7741688
"(40.74989315800008, -73.7208619619999)",Q327-BLG0470,Ps 186 Playground-Castlewood Playground (ps 186)-Building,Q327,Q327,Q327,Castlewood Playground,Y,TRUE,BATHROOM,82.47284609,425.0959545
"(40.71047495600004, -73.82009456499992)",Q220G-BLG0471,Park (manton Playground)-Manton Playground-Building,Q220G,Q220G,Q220G,Manton Playground,Y,TRUE,BATHROOM,85.75876956,459.6031162
"(40.748473894000085, -73.8337483979999)",Q099-17-BLG0472,Kissena Corridor Park-Lawrence Playground-Building,Q099-17,Q300,Q099-17,Kissena Corridor Park,Y,TRUE,CONCESSION,88.91745449,493.3916952
"(40.72060627700006, -73.87747645099995)",Q102-02-BLG0473,Juniper Valley Park-Juniper North Playground Tennis-Building,Q102-02,Q102,Q102-02,Juniper Valley Playground,N,TRUE,ADMINISTRATION,125.456989,943.7735195
"(40.59826248400009, -73.78488275899991)",Q371-01-BLG0475,Rockaway Community Park-Rockaway Community Playground-Building,Q371-01,Q371,Q371-01,Rockaway Community Park,N,TRUE,CLOSED,92.72866485,537.3345089
"(40.726171967000084, -73.84790138999995)",Q425-01-BLG0476,Yellowstone Park-Katzman Playground-Building,Q425-01,Q425,Q425-01,Yellowstone Park,Y,TRUE,BATHROOM,122.8396726,855.0705509
"(40.58020281100005, -73.82769008299994)",Q163-02-BLG0477,Rockaway Beach Boardwalk-Sandpiper Playground-Building,Q163-02,Q163,Q163-02,Rockaway Beach Boardwalk,Y,FALSE,FACILITIES,147.1973167,809.72548
"(40.73919088800005, -73.76511591199994)",Q021-03-BLG0478,Cunningham Park-210th St Playground-Building,Q021-03,Q021,Q021-03,Cunningham Park,Y,TRUE,ADMINISTRATION,85.98150371,462.0359444
"(40.684498690000055, -73.7861381429999)",Q005-05-BLG0479,Baisley Pond Park-157th St Playground-Building,Q005-05,Q005,Q005-05,Baisley Pond Park,Y,TRUE,PERFORMANCE,86.64427471,468.8921762
"(40.796212962000084, -73.82567918599995)",Q126-01-BLG0480,Francis Lewis Park-Francis Lewis Playground-Building,Q126-01,Q126,Q126-01,Francis Lewis Park,Y,TRUE,CONCESSION,98.43699355,585.4935906
"(40.74345485100008, -73.81478101499994)",Q300-04-BLG0481,Kissena Corridor Park-Captain Mario Fajardo Park-Building,Q300-04,Q300,Q300-04,Kissena Corridor Park,N,TRUE,CONCESSION,82.56620128,426.0458499
"(40.747713118000036, -73.8540505229999)",Q450-BLG0482,Corona Golf Playground-Building,Q450,Q450,Q450,Corona Golf Playground,Y,TRUE,BATHROOM,80.967132,400.9124722
"(40.760968708000064, -73.91131138399993)",Q014-BLG0483,Jhs 10 Astoria Hgts Rec Park-Building,Q014,Q014,Q014,Astoria Heights Playground,Y,TRUE,BATHROOM,88.53365846,467.8838819
"(40.76345511900007, -73.8247612319999)",Q022-BLG0484,Weeping Beech Park-Building,Q022,Q022,Q022,Margaret I. Carman Green - Weeping Beech,Y,TRUE,CONCESSION,85.80588202,460.1482958
"(40.70330190900006, -73.80339358099991)",Q023-BLG0486,King Park-Building,Q023,Q023,Q023,Rufus King Park,Y,TRUE,ADMINISTRATION,171.0889125,1400.995089
"(40.70293862600005, -73.80386378199995)",Q023-BLG0487,King Manor Museum,Q023,Q023,Q023,King Manor Museum,Y,FALSE,ADMINISTRATION,366.3941062,5317.80276
"(40.747448312000074, -73.91057379499995)",Q031-BLG0489,Windmuller Park-Building,Q031,Q031,Q031,Lawrence Virgilio Playground,Y,TRUE,FACILITIES,86.12858312,441.7865614
"(40.736147224000035, -73.86983462899991)",Q041-BLG0490,Newtown Playground-Building,Q041,Q041,Q041,Newtown Playground,Y,FALSE,BATHROOM,180.2411302,1619.839857
"(40.741025172000036, -73.92238471199994)",Q044-BLG0491,Lt. Corporal Noonan Playground-Building,Q044,Q044,Q044,L/Cpl Thomas P. Noonan Jr. Playground,Y,TRUE,BATHROOM,90.61307389,492.5384028
"(40.74874058000006, -73.8972114959999)",Q067A-BLG0492,Brig Gen Jos T Hart Memorial-Building,Q067A,Q067A,Q067A,Hart Playground,Y,TRUE,BATHROOM,88.44311136,488.6585496
"(40.58067132300005, -73.83053158599995)",Q422-BLG0493,Ps 225 Playground (seaside)-Building,Q422,Q422,Q422,Seaside Playground,Y,TRUE,BATHROOM,91.46433701,522.848508
"(40.58814697400004, -73.80945837299993)",Q367-BLG0494,Hammel Houses Playground-Building,Q367,Q367,Q367,Hammel Playground,Y,TRUE,BATHROOM,84.67799533,448.1385156
"(40.68179256500008, -73.83968268699994)",Q118-BLG0495,Ozone Playground-Building,Q118,Q118,Q118,Police Officer Nicholas Demutiis Park,Y,TRUE,FACILITIES,85.97871571,431.6045246
"(40.725951277000036, -73.72898417499994)",Q134-BLG0496,Jack Breininger Park-Building,Q134,Q134,Q134,Breininger Park,Y,TRUE,BATHROOM,204.7897588,2162.219799
"(40.75433136600009, -73.88950939199992)",Q303-BLG0497,Thomas J Travers Park-Building,Q303,Q303,Q303,TrAvrs Park,Y,TRUE,BATHROOM,86.63932661,468.9286131
"(40.723914808000075, -73.85162339399994)",Q335-BLG0498,Jhs 190 Playground (russell Sage)-Building,Q335,Q335,Q335,Russell Sage Playground,Y,TRUE,BATHROOM,83.9893117,440.6989271
"(40.683079246000034, -73.80796361699993)",Q119-BLG0499,Frederick B Judge Mem Playground-Building,Q119,Q119,Q119,Frederick B. Judge Playground,Y,TRUE,FACILITIES,84.78815395,436.447451
"(40.67018600800009, -73.84442245499991)",Q095-BLG0500,Loring Park-Building,Q095,Q095,Q095,Vito Locascio Field,Y,TRUE,FACILITIES,72.59219415,314.1000427
"(40.74728920000007, -73.94894020099991)",Q141-BLG0501,John F Murray Playground-Building,Q141,Q141,Q141,Murray Playground,N,TRUE,CLOSED,62.49321369,233.5944155
"(40.71574550200006, -73.83704657299995)",Q304-BLG0503,Leo Ehrenreich-austin St Playground-Building,Q304,Q304,Q304,Ehrenreich-Austin Playground,Y,TRUE,BATHROOM,82.18932108,422.1696117
"(40.70598820400005, -73.89135616399994)",Q305-BLG0504,Joseph F Mafera Park-Building,Q305,Q305,Q305,Mafera Park,N,TRUE,FACILITIES,100.2509838,610.6376041
"(40.72037904400008, -73.85971338799993)",Q306-BLG0505,Ps 174 Playground (mount Playground)-Building,Q306,Q306,Q306,The Painter's Playground,Y,TRUE,BATHROOM,99.01099625,592.6659306
"(40.75796122100007, -73.82475611799993)",Q308-BLG0506,Ps 20 Playground (bowne)-Building,Q308,Q308,Q308,Bowne Playground,Y,TRUE,CONCESSION,86.97542794,472.6468439
"(40.731055241000035, -73.85172389299993)",Q319-BLG0507,Ps 175 Playground (annadale)-Building,Q319,Q319,Q319,Annadale Playground,Y,TRUE,BATHROOM,84.2331805,443.0158801
"(40.72166542600007, -73.7580519249999)",Q322-BLG0508,Ps 135 Playground (bellaire)-Building,Q322,Q322,Q322,Bellaire Playground,Y,TRUE,BATHROOM,82.6541515,426.7623921
"(40.732824029000085, -73.71765562799993)",Q328-BLG0509,Ps 133 Playground (bellerose)-Building,Q328,Q328,Q328,Bellerose Playground,Y,TRUE,BATHROOM,82.4278323,424.5875224
"(40.73612191400008, -73.8140571639999)",Q329-BLG0510,Ps 201 Pomonok Houses Playground-Building,Q329,Q329,Q329,Pomonok Playground,Y,TRUE,BATHROOM,84.2521126,443.4517408
"(40.685879396000075, -73.75618942499995)",Q330-BLG0511,Ps 15 Playground (locust Manor)-Building,Q330,Q330,Q330,Locust Manor Playground,Y,TRUE,BATHROOM,86.7562276,470.0345201
"(40.791841780000084, -73.80827368899992)",Q343-BLG0512,Ps 193 Playground (whitestone)-Building,Q343,Q343,Q343,Whitestone Playground,Y,TRUE,CONCESSION,83.35224774,434.2210735
"(40.73078619000006, -73.80603949099992)",Q344-BLG0513,Ps 200 Playground-Building,Q344,Q344,Q344,Emerald Playground,Y,TRUE,BATHROOM,78.18185845,381.6914879
"(40.61100174400008, -73.7491045989999)",Q345-BLG0514,Redfern Houses Playground-Building,Q345,Q345,Q345,Redfern Playground,Y,TRUE,BATHROOM,85.7000232,458.9383688
"(40.756867268000065, -73.72815463499995)",Q346-BLG0515,Ps 187 Playground (251 St)-Building,Q346,Q346,Q346,Challenge Playground,Y,TRUE,CONCESSION,82.22854138,422.5660913
"(40.73855929700005, -73.75659333699991)",Q349-BLG0516,Ps 205 Playground (bell)-Building,Q349,Q349,Q349,Telephone Playground,Y,TRUE,CONCESSION,83.98061277,440.4055089
"(40.726343987000064, -73.8084520999999)",Q354-BLG0517,Ps 154 Playground (seventy-five)-Building,Q354,Q354,Q354,Playground Seventy Five,Y,TRUE,BATHROOM,78.58663685,385.9796487
"(40.73547310100008, -73.85724964099995)",Q357B-BLG0518,L.i.e Playground-Building,Q357B,Q357B,Q357B,Real Good Park,Y,TRUE,BATHROOM,82.20943257,422.1574033
"(40.74229203200008, -73.88235128199995)",Q361-BLG0519,Clement Clarke Moore Homestead-Building,Q361,Q361,Q361,Moore Homestead Playground,Y,TRUE,BATHROOM,86.38355396,466.3822051
"(40.75723654600006, -73.8783393569999)",Q362-BLG0520,PS 148 Playground (88 Street)-Building,Q362,Q362,Q362,Playground Ninety,Y,TRUE,BATHROOM,82.76127813,428.052877
"(40.747829161000084, -73.77626348599995)",Q293-BLG0522,Ps 162 Playground-Building,Q293,Q293,Q293,Saul Weprin Playground,Y,TRUE,CONCESSION,83.41989782,434.349612
"(40.77753072300004, -73.90250080699991)",Q332-BLG0523,Playground (woodtree)-Building,Q332,Q332,Q332,Woodtree Playground,Y,TRUE,CLOSED,78.47160777,381.0161262
"(40.690213792000065, -73.83952233299993)",Q337-BLG0524,Maurice A Fitzgerald Playground-Building,Q337,Q337,Q337,Maurice A Fitzgerald Playground,Y,TRUE,BATHROOM,84.33447501,444.4597807
"(40.693315004000056, -73.77811171299993)",Q051-BLG0525,St Albans Memorial Park-Building,Q051,Q051,Q051,St. Albans Park,Y,TRUE,BATHROOM,104.7375292,585.5854104
"(40.75591992600005, -73.82609880199993)",Q211-BLG0527,Richmond Park-Building,Q211,Q211,Q211,Maple Playground,Y,TRUE,CONCESSION,82.98923557,430.3864927
"(40.58883491600005, -73.7891012579999)",Q162E-BLG0528,Beach 59th Street Playground-Building,Q162E,Q162E,Q162E,Beach 59th St Playground,Y,TRUE,FACILITIES,129.7874051,1034.359747
"(40.77308426900004, -73.78494917599994)",Q387A-BLG0529,Park (bayside Hs Athletic Fld)-Building,Q387A,Q387A,Q387A,Bayside Fields,Y,TRUE,BATHROOM,115.9948595,1008.8903
"(40.73223874300004, -73.73167054999993)",Q358-BLG0531,Ps 18 Playground (235 Court)-Building,Q358,Q358,Q358,Detective William T. Gunn Park,Y,TRUE,BATHROOM,91.29488874,520.5605143
"(40.721864193000044, -73.8239704049999)",Q212-BLG0534,Ps 164 Playground-Building,Q212,Q212,Q212,Queens Valley Playground,Y,TRUE,BATHROOM,87.01572368,473.2215989
"(40.68460353900008, -73.77024485599992)",Q210-BLG0535,Playground (st Albans)-Building,Q210,Q210,Q210,Nautilus Playground,Y,TRUE,BATHROOM,76.45737128,365.3296563
"(40.70667642800004, -73.75315316599995)",Q405-BLG0538,Jhs 192 Playground (hollis)-Building,Q405,Q405,Q405,Hollis Playground,Y,TRUE,BATHROOM,82.26145173,421.5381475
"(40.663774077000085, -73.75952873099993)",Q406-BLG0539,Jhs 231 Playground (springfield)-Building,Q406,Q406,Q406,Springfield Park North,Y,TRUE,BATHROOM,83.02074659,430.5774843
"(40.734407271000066, -73.79615510299993)",Q314-BLG0543,Ps 173 Playground (fresh Meadows)-Building,Q314,Q314,Q314,Fresh Meadows Playground,Y,TRUE,BATHROOM,84.28875317,443.9332548
"(40.74629631600004, -73.75828383399994)",Q317-BLG0544,Ps 46 Playground (alley Pond)-Building,Q317,Q317,Q317,Tall Oak Playground,Y,TRUE,CONCESSION,83.46951116,434.8641863
"(40.74486449600005, -73.7096372819999)",Q318-BLG0545,Ps 115 Playground (80 Ave)-Building,Q318,Q318,Q318,Playground Eighty LXXX,Y,FALSE, ,89.83202657,504.2770366
"(40.72981641500007, -73.81625439099992)",Q320-BLG0546,Ps 165 Playground (vleigh)-Building,Q320,Q320,Q320,Vleigh Playground,Y,TRUE,BATHROOM,79.83510246,398.0214801
"(40.73580282100005, -73.80540883099991)",Q342-BLG0547,Electchester Houses Playground-Building,Q342,Q342,Q342,Electric Playground,Y,TRUE,COMFORT STATION,87.69008526,556.4376722
"(40.70638577300008, -73.77465948899993)",Q351-BLG0548,Park (peters Field)-Building,Q351,Q351,Q351,Peters Field,Y,TRUE,BATHROOM,84.8091336,449.5273983
"(40.75704412400006, -73.77149225499994)",Q364-BLG0549,Jhs 158 Playground (marie Curie)-Building,Q364,Q364,Q364,Marie Curie Park,Y,TRUE,BATHROOM,82.04169177,420.6639549
"(40.68001635200005, -73.77515440799993)",Q426-BLG0550,Ps 30 Playground (north Rochdale)-Building,Q426,Q426,Q426,North Rochdale Playground,Y,TRUE,BATHROOM,94.75117743,561.0653409
"(40.76796140700009, -73.92187343499995)",Q436-BLG0551,Ps 17 Playground (thoreau)-Building,Q436,Q436,Q436,Athens Square,Y,TRUE,BATHROOM,82.09950148,398.9192451
"(40.77579669600004, -73.83809793199993)",Q476-BLG0556,College Point Field-Building,Q476,Q476,Q476,College Point Park,Y,TRUE, ,209.6281462,2678.801505
"(40.76547084200007, -73.8714434769999)",Q373-BLG0557,Ps 127 Playground (east Elmhurst)-Building,Q373,Q373,Q373,East Elmhurst Playground,Y,TRUE,FACILITIES,87.04417259,472.7619385
"(40.736030337000045, -73.85275406799991)",Q377-BLG0558,Ps 220 Playground (62 Rd)-Building,Q377,Q377,Q377,Playground Sixty Two LXII,Y,TRUE,BATHROOM,83.39802649,434.5149769
"(40.68139323000008, -73.85680044399993)",Q378-BLG0559,Ps 64 Playground (ampere)-Building,Q378,Q378,Q378,Ampere Playground,Y,TRUE,BATHROOM,82.69671491,426.6088368
"(40.77151121400004, -73.9073206999999)",Q385-BLG0560,Park (ditmars)-Building,Q385,Q385,Q385,Ditmars Park,N,TRUE,FACILITIES,85.31163909,454.753683
"(40.58493726800003, -73.8249997499999)",Q389-BLG0561,Jhs 180 Playground-Building,Q389,Q389,Q389,Bayside Playground,Y,TRUE,BATHROOM,84.77486223,449.1474288
"(40.78303681600005, -73.80682193199993)",Q390-BLG0562,Jhs 194 Playground (clintonville)-Building,Q390,Q390,Q390,Clintonville Playground,Y,TRUE,CONCESSION,97.27443108,591.0917184
"(40.71564342700009, -73.80115553999991)",Q391-BLG0563,Joseph Austin Playground-Building,Q391,Q391,Q391,Joseph Austin Playground,Y,TRUE,BATHROOM,85.22853974,453.9913665
"(40.75489340000007, -73.85517345699992)",Q415-BLG0565,Ps 143 Playground (louis Armstrong)-Building,Q415,Q415,Q415,Louis Armstrong Playground,Y,TRUE,BATHROOM,82.43947911,424.7581833
"(40.71881102900005, -73.9019668759999)",Q423-BLG0566,Andrew J Reiff Mem Park-Building,Q423,Q423,Q423,Reiff Playground,N,TRUE,FACILITIES,90.88409091,516.2413546
"(40.73313628000005, -73.8602976279999)",Q428-BLG0567,Ps 206 Playground (horace Harding)-Building,Q428,Q428,Q428,Horace Harding Playground,Y,TRUE,BATHROOM,76.03577041,340.9903052
"(40.76141961400003, -73.94135439799993)",Q429-BLG0568,Ps 76 Playground (36 Ave)-Building,Q429,Q429,Q429,Spirit Playground,N,TRUE,CLOSED,87.36094065,426.603372
"(40.74808900900007, -73.72124005099994)",Q453-BLG0570,Creedmoor Farm Park-Building,Q453,Q453,Q453,Queens Farm Park,Y,TRUE, ,425.9193395,4854.140376
"(40.758271737000086, -73.90032172999992)",Q174A-BLG0572,St Michaels Playground-Building,Q174A,Q174A,Q174A,St Michaels Playground,Y,TRUE,FACILITIES,98.10835754,588.9844404
